
AIRLINE_ID,Description,Sum(PASSENGERS)
"21416","Jin Air Co Ltd.: LJ",10309
"21423","Unijet: 12Q",4
"21427","AeroLogic GmbH: 3S",0
"21437","Chartright Air Inc.: 13Q",7619
"21439","London Air Services Limited: 14Q",1017
"21440","Air Alsie A/S: 15Q",438
"21447","Albinati Aeronautics SA: 17Q",5
"21487","AirBridgeCargo Airlines Limited: RU",0
"21492","Eastern Airlines f/k/a Dynamic Airways, LLC: 1BQ",123202
"21507","Aerogal: 2K",4552
"21518","KaiserAir, Inc.: 1EQ",11634
"21548","International Jet Management GmbH: 1HQ",200
"21567","Brussels Airlines N.V.: SN",36074
"21568","VistaJet Limited: VJT",6548
"21570","Star Marianas Air Inc.: 1SQ",66045
"21573","Bertelsmann Aviation GmbH: 1LQ",4
"21577","Rhoades Aviation dba Transair: 1TQ",0
"21580","Cargolux Italia SpA: C8",0
"21582","Reeve Air Alaska, LLC: RVQ",2648
"21590","Gainjet Aviation SA: 1UQ",277
"21594","Scott Air LLC dba Island Air Express: I4",24555
"21596","Ultimate JetCharters LLC dba Ultimate Air Shuttle: 1WQ",24971
"21599","Boutique Air: 4B",105189
"21601","Dassault Falcon Service: 1XQ",22
"21610","Air Canada rouge LP: RV",210175
"21611","Sky Regional Airlines Inc.: KV",46035
"21614","City Wings Inc dba Seaflight: 1QQ",10401
"21615","Air Charter, Inc d/b/a Air Flamenco: 1YQ",25760
"21618","Southern Airways Express, dba Mokulele Airlines: 9X",324634
"21626","Dreamjet SAS Dba La Compagnie: B0",7547
"21629","Western Global: KD",0
"21630","Comlux Aruba NV: 1ZQ",800
"21634","Aloha Air Cargo: KH",0
"21635","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle: LF",158142
"21636","Gem Air LLC: 22Q",536
"21638","Azul Linhas Aereas Brazileiras S A: AD",97628
"21646","Jet Story: 24Q",130
"21649","Mjet GmbH: 25Q",22
"21651","Albinati aviation Limited: 26Q",44
"21652","Jet Aviation Flight Services, Inc.: 27Q",5056
"21656","ABS JETS A.S: 2AQ",54
"21670","Fast Colombia SAS d/b/a Viva Colombia: VH",143669
"21673","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit: 2EQ",4459
"21693","Cavok Air LLC: 2GQ",0
